RU;99;1825;TransparentCalls;0.70;846;20;3
US;81;514;E-Voice;0.85;956;83;46
GB;37;572;TransparentCalls;0.94;96;84;40
FR;57;1080;TransparentCalls;0.62;195;91;56
BL;24;1800;E-Voice;0.61;908;74;41
AT;38;1276;TransparentCalls;0.87;319;32;34
BG;72;142;E-Voice;0.83;772;68;15
DK;87;984;JustPhone;0.75;246;61;26
CA;29;468;JustPhone;0.68;476;53;29
ES;47;1268;E-Voice;0.93;140;73;43
CH;48;1576;JustPhone;0.93;187;23;44
TR;23;443;TransparentCalls;1.00;146;41;45
PE;6;1414;JustPhone;0.65;239;13;37
NZ;30;1665;JustPhone;0.88;931;69;29
MC;32;1613;E-Voice;0.64;241;30;53
